# vertices: id,cell
1,11
2,12
3,13
4,14
5,15
6,16
7,21
8,22
9,23
10,24
11,25
12,26
13,31
14,32
15,33
16,34
17,35
18,36
19,41
20,42
21,43
22,44
23,45
24,46
25,51
26,52
27,53
28,54
29,55
30,56

# edges: u, v, w
1,2,2
2,3,2
3,4,2
4,5,3
5,6,3
1,7,3
2,8,2
3,9,2
4,10,3
5,11,2
6,12,3
7,8,2
8,9,2
9,10,2
10,11,3
11,12,2
7,13,3
8,14,3
9,15,2
10,16,3
11,17,3
12,18,3
13,14,2
14,15,2
15,16,2
16,17,2
17,18,3
13,19,3
14,20,2
15,21,2
16,22,3
17,23,3
18,24,3
19,20,2
20,21,2
21,22,2
22,23,3
23,24,3
19,25,2
20,26,3
21,27,2
22,28,3
23,29,2
24,30,3
25,26,2
26,27,2
27,28,2
28,29,2
29,30,3

# source and destination
S,1
D,30
